PerfID,StylistID,StylistName,ConsultantID,RegionID,RegionName,Year,MonthNum,Target_GBP,ActualRevenue_GBP,Achievement_Pct,TotalBookings,CompletedBookings,NoShows,NewClients,Commission_Earned_GBP,Avg_NPS
SP000123,STY004,Lisa Carter,CON002,RG02,London South,2023,12,4025.0,4327.76,107.5,13,11,0,2,1298.33,8.7
SP000124,STY004,Lisa Carter,CON002,RG02,London South,2024,1,3080.0,2535.18,82.3,27,21,3,3,760.55,9.4
SP000125,STY004,Lisa Carter,CON002,RG02,London South,2024,2,3080.0,3228.1,104.8,45,36,9,5,968.43,9.2
SP000126,STY004,Lisa Carter,CON002,RG02,London South,2024,3,3500.0,3038.35,86.8,43,38,4,11,911.5,9.6
SP000127,STY004,Lisa Carter,CON002,RG02,London South,2024,4,3500.0,2597.82,74.2,40,35,5,8,779.35,8.8
SP000128,STY004,Lisa Carter,CON002,RG02,London South,2024,5,3500.0,3153.11,90.1,36,31,4,12,945.93,9.6
SP000129,STY004,Lisa Carter,CON002,RG02,London South,2024,6,3780.0,2928.7,77.5,42,36,4,7,878.61,8.2
SP000130,STY004,Lisa Carter,CON002,RG02,London South,2024,7,3780.0,3057.06,80.9,42,37,2,4,917.12,7.7
SP000131,STY004,Lisa Carter,CON002,RG02,London South,2024,8,3780.0,3074.77,81.3,39,34,2,4,922.43,9.2
SP000132,STY004,Lisa Carter,CON002,RG02,London South,2024,9,3500.0,3376.39,96.5,45,40,3,3,1012.92,7.8
SP000133,STY004,Lisa Carter,CON002,RG02,London South,2024,10,3500.0,3032.25,86.6,42,33,6,9,909.67,9.1
SP000134,STY004,Lisa Carter,CON002,RG02,London South,2024,11,4025.0,3403.56,84.6,15,12,0,3,1021.07,8.9
SP000135,STY004,Lisa Carter,CON002,RG02,London South,2024,12,4025.0,4121.83,102.4,17,16,0,5,1236.55,8.2
SP000136,STY004,Lisa Carter,CON002,RG02,London South,2025,1,3080.0,3140.45,102.0,28,23,4,10,942.14,9.2
SP000137,STY004,Lisa Carter,CON002,RG02,London South,2025,2,3080.0,3152.72,102.4,23,18,5,4,945.82,7.5
SP000138,STY004,Lisa Carter,CON002,RG02,London South,2025,3,3500.0,2501.89,71.5,28,24,3,4,750.57,9.3
SP000139,STY004,Lisa Carter,CON002,RG02,London South,2025,4,3500.0,3230.31,92.3,20,16,3,4,969.09,8.9
SP000140,STY004,Lisa Carter,CON002,RG02,London South,2025,5,3500.0,4261.19,121.7,35,28,4,3,1278.36,7.4
SP000141,STY004,Lisa Carter,CON002,RG02,London South,2025,6,3780.0,4169.34,110.3,31,28,1,9,1250.8,7.5
SP000142,STY004,Lisa Carter,CON002,RG02,London South,2025,7,3780.0,3385.29,89.6,44,40,4,11,1015.59,7.7
SP000143,STY004,Lisa Carter,CON002,RG02,London South,2025,8,3780.0,4421.79,117.0,18,16,2,9,1326.54,8.1
SP000144,STY004,Lisa Carter,CON002,RG02,London South,2025,9,3500.0,3055.4,87.3,27,24,0,8,916.62,8.7
SP000145,STY004,Lisa Carter,CON002,RG02,London South,2025,10,3500.0,3193.27,91.2,33,28,5,6,957.98,9.6
SP000146,STY004,Lisa Carter,CON002,RG02,London South,2025,11,4025.0,4076.28,101.3,24,21,1,10,1222.88,8.0
SP000147,STY004,Lisa Carter,CON002,RG02,London South,2025,12,4025.0,4762.36,118.3,34,28,6,5,1428.71,9.2
SP000148,STY004,Lisa Carter,CON002,RG02,London South,2026,1,3080.0,3558.03,115.5,33,30,1,11,1067.41,8.0
SP000149,STY005,Sarah Walsh,CON002,RG02,London South,2023,1,3080.0,2367.72,76.9,40,34,5,11,710.32,7.8
SP000150,STY005,Sarah Walsh,CON002,RG02,London South,2023,2,3080.0,2775.8,90.1,18,14,3,2,832.74,9.1
SP000151,STY005,Sarah Walsh,CON002,RG02,London South,2023,3,3500.0,3817.45,109.1,26,23,0,4,1145.24,7.9
SP000152,STY005,Sarah Walsh,CON002,RG02,London South,2023,4,3500.0,2471.7,70.6,43,40,0,5,741.51,9.0
SP000153,STY005,Sarah Walsh,CON002,RG02,London South,2023,5,3500.0,3374.65,96.4,30,27,0,8,1012.39,8.2
SP000154,STY005,Sarah Walsh,CON002,RG02,London South,2023,6,3780.0,3612.43,95.6,13,12,1,2,1083.73,8.8
SP000155,STY005,Sarah Walsh,CON002,RG02,London South,2023,7,3780.0,4306.04,113.9,29,24,5,12,1291.81,9.4
SP000156,STY005,Sarah Walsh,CON002,RG02,London South,2023,8,3780.0,2999.77,79.4,23,19,1,10,899.93,7.3
SP000157,STY005,Sarah Walsh,CON002,RG02,London South,2023,9,3500.0,3745.58,107.0,38,34,1,9,1123.67,8.6
SP000158,STY005,Sarah Walsh,CON002,RG02,London South,2023,10,3500.0,3578.06,102.2,19,17,2,3,1073.42,8.8
SP000159,STY005,Sarah Walsh,CON002,RG02,London South,2023,11,4025.0,2923.64,72.6,20,18,0,3,877.09,8.0
SP000160,STY005,Sarah Walsh,CON002,RG02,London South,2023,12,4025.0,4362.93,108.4,28,24,1,9,1308.88,7.9
SP000161,STY005,Sarah Walsh,CON002,RG02,London South,2024,1,3080.0,2450.8,79.6,33,27,3,9,735.24,8.8
SP000162,STY005,Sarah Walsh,CON002,RG02,London South,2024,2,3080.0,2682.9,87.1,24,20,3,12,804.87,8.2
SP000163,STY005,Sarah Walsh,CON002,RG02,London South,2024,3,3500.0,3375.54,96.4,20,16,3,10,1012.66,8.2
SP000164,STY005,Sarah Walsh,CON002,RG02,London South,2024,4,3500.0,4281.55,122.3,14,12,2,6,1284.46,8.0
SP000165,STY005,Sarah Walsh,CON002,RG02,London South,2024,5,3500.0,2628.12,75.1,14,13,0,11,788.44,9.2
SP000166,STY005,Sarah Walsh,CON002,RG02,London South,2024,6,3780.0,3259.95,86.2,27,23,2,2,977.98,8.1
SP000167,STY005,Sarah Walsh,CON002,RG02,London South,2024,7,3780.0,4109.29,108.7,45,37,8,11,1232.79,7.5
SP000168,STY005,Sarah Walsh,CON002,RG02,London South,2024,8,3780.0,2764.29,73.1,15,13,1,7,829.29,9.6
SP000169,STY005,Sarah Walsh,CON002,RG02,London South,2024,9,3500.0,3929.73,112.3,23,21,0,6,1178.92,8.2
SP000170,STY005,Sarah Walsh,CON002,RG02,London South,2024,10,3500.0,2801.89,80.1,43,35,7,4,840.57,8.2
SP000171,STY005,Sarah Walsh,CON002,RG02,London South,2024,11,4025.0,3359.34,83.5,17,15,0,2,1007.8,9.0
SP000172,STY005,Sarah Walsh,CON002,RG02,London South,2024,12,4025.0,4604.18,114.4,34,28,5,8,1381.25,8.2
SP000173,STY005,Sarah Walsh,CON002,RG02,London South,2025,1,3080.0,2928.01,95.1,16,13,3,7,878.4,9.0
SP000174,STY005,Sarah Walsh,CON002,RG02,London South,2025,2,3080.0,2481.35,80.6,41,36,4,8,744.41,8.5
SP000175,STY005,Sarah Walsh,CON002,RG02,London South,2025,3,3500.0,3995.55,114.2,34,27,5,12,1198.67,8.7
SP000176,STY005,Sarah Walsh,CON002,RG02,London South,2025,4,3500.0,3511.34,100.3,23,21,2,5,1053.4,9.7
SP000177,STY005,Sarah Walsh,CON002,RG02,London South,2025,5,3500.0,3918.7,112.0,18,15,1,2,1175.61,8.9
SP000178,STY005,Sarah Walsh,CON002,RG02,London South,2025,6,3780.0,2780.26,73.6,30,25,4,11,834.08,7.9
SP000179,STY005,Sarah Walsh,CON002,RG02,London South,2025,7,3780.0,2687.82,71.1,40,37,0,6,806.35,8.3
SP000180,STY005,Sarah Walsh,CON002,RG02,London South,2025,8,3780.0,4577.31,121.1,38,35,1,4,1373.19,8.5
SP000181,STY005,Sarah Walsh,CON002,RG02,London South,2025,9,3500.0,2970.35,84.9,24,22,0,9,891.11,9.6
SP000182,STY005,Sarah Walsh,CON002,RG02,London South,2025,10,3500.0,3822.71,109.2,16,14,0,11,1146.81,7.4
SP000183,STY005,Sarah Walsh,CON002,RG02,London South,2025,11,4025.0,4725.52,117.4,37,32,2,2,1417.66,8.8
SP000184,STY005,Sarah Walsh,CON002,RG02,London South,2025,12,4025.0,3536.71,87.9,29,26,1,10,1061.01,8.1
SP000185,STY005,Sarah Walsh,CON002,RG02,London South,2026,1,3080.0,3847.79,124.9,17,15,0,12,1154.34,8.3
SP000186,STY006,Anna Singh,CON002,RG02,London South,2023,1,3080.0,3201.06,103.9,32,27,4,5,1120.37,8.3
SP000187,STY006,Anna Singh,CON002,RG02,London South,2023,2,3080.0,2752.81,89.4,45,40,5,10,963.48,8.4
SP000188,STY006,Anna Singh,CON002,RG02,London South,2023,3,3500.0,2531.95,72.3,22,19,2,6,886.18,7.9
SP000189,STY006,Anna Singh,CON002,RG02,London South,2023,4,3500.0,3050.79,87.2,13,11,2,12,1067.78,8.9
SP000190,STY006,Anna Singh,CON002,RG02,London South,2023,5,3500.0,4013.28,114.7,42,39,0,2,1404.65,7.5
SP000191,STY006,Anna Singh,CON002,RG02,London South,2023,6,3780.0,3466.36,91.7,41,37,1,6,1213.23,8.9
SP000192,STY006,Anna Singh,CON002,RG02,London South,2023,7,3780.0,2683.07,71.0,31,27,3,9,939.08,8.7
SP000193,STY006,Anna Singh,CON002,RG02,London South,2023,8,3780.0,4724.83,125.0,36,33,1,4,1653.69,8.2
SP000194,STY006,Anna Singh,CON002,RG02,London South,2023,9,3500.0,2647.31,75.6,44,37,4,7,926.56,7.4
SP000195,STY006,Anna Singh,CON002,RG02,London South,2023,10,3500.0,2608.38,74.5,24,19,2,4,912.93,7.4
SP000196,STY006,Anna Singh,CON002,RG02,London South,2023,11,4025.0,3162.39,78.6,25,22,3,6,1106.84,8.5
SP000197,STY006,Anna Singh,CON002,RG02,London South,2023,12,4025.0,4824.31,119.9,31,25,6,4,1688.51,7.3
SP000198,STY006,Anna Singh,CON002,RG02,London South,2024,1,3080.0,3183.5,103.4,44,35,8,9,1114.22,8.0
SP000199,STY006,Anna Singh,CON002,RG02,London South,2024,2,3080.0,2774.62,90.1,40,32,7,3,971.12,8.4
SP000200,STY006,Anna Singh,CON002,RG02,London South,2024,3,3500.0,3983.41,113.8,38,33,5,8,1394.19,9.6
SP000201,STY006,Anna Singh,CON002,RG02,London South,2024,4,3500.0,2649.18,75.7,12,9,1,6,927.21,9.6
SP000202,STY006,Anna Singh,CON002,RG02,London South,2024,5,3500.0,4520.81,129.2,28,25,3,8,1582.28,8.3
SP000203,STY006,Anna Singh,CON002,RG02,London South,2024,6,3780.0,4121.78,109.0,15,13,0,9,1442.62,9.7
SP000204,STY006,Anna Singh,CON002,RG02,London South,2024,7,3780.0,4885.58,129.2,26,23,1,3,1709.95,7.5
SP000205,STY006,Anna Singh,CON002,RG02,London South,2024,8,3780.0,3487.04,92.2,22,17,5,4,1220.46,8.8
SP000206,STY006,Anna Singh,CON002,RG02,London South,2024,9,3500.0,4155.81,118.7,36,32,1,3,1454.53,9.3
SP000207,STY006,Anna Singh,CON002,RG02,London South,2024,10,3500.0,2829.76,80.9,17,14,0,4,990.42,8.7
SP000208,STY006,Anna Singh,CON002,RG02,London South,2024,11,4025.0,4437.44,110.2,15,13,0,8,1553.1,8.6
SP000209,STY006,Anna Singh,CON002,RG02,London South,2024,12,4025.0,4809.67,119.5,31,28,1,4,1683.38,8.8
SP000210,STY006,Anna Singh,CON002,RG02,London South,2025,1,3080.0,3660.99,118.9,15,14,1,7,1281.35,7.3
SP000211,STY006,Anna Singh,CON002,RG02,London South,2025,2,3080.0,2688.03,87.3,26,20,5,4,940.81,8.3
SP000212,STY006,Anna Singh,CON002,RG02,London South,2025,3,3500.0,2485.01,71.0,19,16,1,7,869.76,7.4
SP000213,STY006,Anna Singh,CON002,RG02,London South,2025,4,3500.0,3927.04,112.2,38,33,5,3,1374.46,8.6
SP000214,STY006,Anna Singh,CON002,RG02,London South,2025,5,3500.0,3284.12,93.8,30,24,4,6,1149.44,9.4
SP000215,STY006,Anna Singh,CON002,RG02,London South,2025,6,3780.0,4774.87,126.3,25,22,3,11,1671.2,7.6
SP000216,STY006,Anna Singh,CON002,RG02,London South,2025,7,3780.0,3648.62,96.5,25,20,2,12,1277.02,8.5
