FinID,ConsultantID,ConsultantName,RegionID,Year,MonthNum,ConsultationRevenue_GBP,RetailRevenue_GBP,TotalRevenue_GBP,ConsultationBudget_GBP,RetailBudget_GBP,TotalBudget_GBP,RevenueVsBudget_GBP,RevenueVsBudget_Pct,FranchiseFee_GBP,StylistCommission_GBP,MarketingCost_GBP,OperationalCost_GBP,ProductCOGS_GBP,TotalCost_GBP,GrossProfit_GBP,NetProfit_GBP,ProfitMargin_Pct
FIN000017,CON001,Sophie Marlowe,RG01,2024,5,4344.23,918.9,5263.13,4000.0,1000.0,5000.0,263.13,105.3,421.05,1303.27,263.16,348.07,413.5,2749.05,4849.63,2514.08,47.8
FIN000018,CON001,Sophie Marlowe,RG01,2024,6,3863.28,929.0,4792.28,4320.0,1080.0,5400.0,-607.72,88.7,383.38,1158.98,239.61,574.66,418.05,2774.68,4374.23,2017.6,42.1
FIN000019,CON001,Sophie Marlowe,RG01,2024,7,4715.78,1150.72,5866.5,4320.0,1080.0,5400.0,466.5,108.6,469.32,1414.73,293.32,268.46,517.82,2963.65,5348.68,2902.85,49.5
FIN000020,CON001,Sophie Marlowe,RG01,2024,8,4873.42,861.88,5735.3,4320.0,1080.0,5400.0,335.3,106.2,458.82,1462.03,286.77,351.78,387.85,2947.25,5347.45,2788.05,48.6
FIN000021,CON001,Sophie Marlowe,RG01,2024,9,4981.14,1084.0,6065.14,4000.0,1000.0,5000.0,1065.14,121.3,485.21,1494.34,303.26,422.78,487.8,3193.39,5577.34,2871.75,47.3
FIN000022,CON001,Sophie Marlowe,RG01,2024,10,4432.31,1205.71,5638.02,4000.0,1000.0,5000.0,638.02,112.8,451.04,1329.69,281.9,510.4,542.57,3115.6,5095.45,2522.42,44.7
FIN000023,CON001,Sophie Marlowe,RG01,2024,11,4154.13,827.15,4981.28,4600.0,1150.0,5750.0,-768.72,86.6,398.5,1246.24,249.06,326.18,372.22,2592.2,4609.06,2389.08,48.0
FIN000024,CON001,Sophie Marlowe,RG01,2024,12,4234.22,950.58,5184.8,4600.0,1150.0,5750.0,-565.2,90.2,414.78,1270.27,259.24,577.16,427.76,2949.21,4757.04,2235.59,43.1
FIN000025,CON001,Sophie Marlowe,RG01,2025,1,4204.17,782.15,4986.32,3520.0,880.0,4400.0,586.32,113.3,398.91,1261.25,249.32,462.18,351.97,2723.63,4634.35,2262.69,45.4
FIN000026,CON001,Sophie Marlowe,RG01,2025,2,3442.68,1098.88,4541.56,3520.0,880.0,4400.0,141.56,103.2,363.32,1032.8,227.08,383.54,494.5,2501.24,4047.06,2040.32,44.9
FIN000027,CON001,Sophie Marlowe,RG01,2025,3,3676.78,847.98,4524.76,4000.0,1000.0,5000.0,-475.24,90.5,361.98,1103.03,226.24,424.55,381.59,2497.39,4143.17,2027.37,44.8
FIN000028,CON001,Sophie Marlowe,RG01,2025,4,3672.93,1050.75,4723.68,4000.0,1000.0,5000.0,-276.32,94.5,377.89,1101.88,236.18,559.13,472.84,2747.92,4250.84,1975.76,41.8
FIN000029,CON001,Sophie Marlowe,RG01,2025,5,3918.92,831.59,4750.51,4000.0,1000.0,5000.0,-249.49,95.0,380.04,1175.68,237.53,599.02,374.22,2766.49,4376.29,1984.02,41.8
FIN000030,CON001,Sophie Marlowe,RG01,2025,6,4446.52,814.91,5261.43,4320.0,1080.0,5400.0,-138.57,97.4,420.91,1333.96,263.07,218.85,366.71,2603.5,4894.72,2657.93,50.5
FIN000031,CON001,Sophie Marlowe,RG01,2025,7,3669.16,1162.59,4831.75,4320.0,1080.0,5400.0,-568.25,89.5,386.54,1100.75,241.59,516.83,523.17,2768.88,4308.58,2062.87,42.7
FIN000032,CON001,Sophie Marlowe,RG01,2025,8,4276.68,797.17,5073.85,4320.0,1080.0,5400.0,-326.15,94.0,405.91,1283.0,253.69,352.65,358.73,2653.98,4715.12,2419.87,47.7
FIN000033,CON001,Sophie Marlowe,RG01,2025,9,4993.02,1017.47,6010.49,4000.0,1000.0,5000.0,1010.49,120.2,480.84,1497.91,300.52,588.43,457.86,3325.56,5552.63,2684.93,44.7
FIN000034,CON001,Sophie Marlowe,RG01,2025,10,4749.4,706.89,5456.29,4000.0,1000.0,5000.0,456.29,109.1,436.5,1424.82,272.81,488.29,318.1,2940.52,5138.19,2515.77,46.1
FIN000035,CON001,Sophie Marlowe,RG01,2025,11,5091.14,1175.51,6266.65,4600.0,1150.0,5750.0,516.65,109.0,501.33,1527.34,313.33,306.73,528.98,3177.71,5737.67,3088.94,49.3
FIN000036,CON001,Sophie Marlowe,RG01,2025,12,5006.79,881.97,5888.76,4600.0,1150.0,5750.0,138.76,102.4,471.1,1502.04,294.44,373.91,396.89,3038.38,5491.87,2850.38,48.4
FIN000037,CON001,Sophie Marlowe,RG01,2026,1,3534.7,1119.61,4654.31,3520.0,880.0,4400.0,254.31,105.8,372.34,1060.41,232.72,550.34,503.82,2719.63,4150.49,1934.68,41.6
FIN000038,CON002,Emma Patel,RG02,2023,1,4041.51,704.25,4745.76,4400.0,704.0,5104.0,-358.24,93.0,379.66,1212.45,237.29,271.46,316.91,2417.77,4428.85,2327.99,49.1
FIN000039,CON002,Emma Patel,RG02,2023,2,5327.0,860.51,6187.51,4400.0,704.0,5104.0,1083.51,121.2,495.0,1598.1,309.38,319.38,387.23,3109.09,5800.28,3078.42,49.8
FIN000040,CON002,Emma Patel,RG02,2023,3,5437.64,852.31,6289.95,5000.0,800.0,5800.0,489.95,108.4,503.2,1631.29,314.5,261.14,383.54,3093.67,5906.41,3196.28,50.8
FIN000041,CON002,Emma Patel,RG02,2023,4,5715.65,818.9,6534.55,5000.0,800.0,5800.0,734.55,112.7,522.76,1714.69,326.73,511.45,368.5,3444.13,6166.05,3090.42,47.3
FIN000042,CON002,Emma Patel,RG02,2023,5,5193.3,560.27,5753.57,5000.0,800.0,5800.0,-46.43,99.2,460.29,1557.99,287.68,329.66,252.12,2887.74,5501.45,2865.83,49.8
FIN000043,CON002,Emma Patel,RG02,2023,6,4367.33,1086.44,5453.77,5400.0,864.0,6264.0,-810.23,87.1,436.3,1310.2,272.69,551.49,488.9,3059.58,4964.87,2394.19,43.9
FIN000044,CON002,Emma Patel,RG02,2023,7,6340.95,764.22,7105.17,5400.0,864.0,6264.0,841.17,113.4,568.41,1902.28,355.26,223.17,343.9,3393.02,6761.27,3712.15,52.2
FIN000045,CON002,Emma Patel,RG02,2023,8,6453.56,1095.7,7549.26,5400.0,864.0,6264.0,1285.26,120.5,603.94,1936.07,377.46,234.26,493.07,3644.8,7056.19,3904.46,51.7
FIN000046,CON002,Emma Patel,RG02,2023,9,5093.48,593.22,5686.7,5000.0,800.0,5800.0,-113.3,98.0,454.94,1528.04,284.33,504.24,266.95,3038.5,5419.75,2648.2,46.6
FIN000047,CON002,Emma Patel,RG02,2023,10,5723.13,621.63,6344.76,5000.0,800.0,5800.0,544.76,109.4,507.58,1716.94,317.24,390.11,279.73,3211.6,6065.03,3133.16,49.4
FIN000048,CON002,Emma Patel,RG02,2023,11,6022.62,790.31,6812.93,5750.0,920.0,6670.0,142.93,102.1,545.03,1806.79,340.65,548.97,355.64,3597.08,6457.29,3215.85,47.2
FIN000049,CON002,Emma Patel,RG02,2023,12,5694.87,760.91,6455.78,5750.0,920.0,6670.0,-214.22,96.8,516.46,1708.46,322.79,415.72,342.41,3305.84,6113.37,3149.94,48.8
FIN000050,CON002,Emma Patel,RG02,2024,1,4965.26,577.77,5543.03,4400.0,704.0,5104.0,439.03,108.6,443.44,1489.58,277.15,324.69,260.0,2794.86,5283.03,2748.17,49.6
FIN000051,CON002,Emma Patel,RG02,2024,2,5490.4,767.31,6257.71,4400.0,704.0,5104.0,1153.71,122.6,500.62,1647.12,312.89,375.24,345.29,3181.16,5912.42,3076.55,49.2
FIN000052,CON002,Emma Patel,RG02,2024,3,5164.55,618.08,5782.63,5000.0,800.0,5800.0,-17.37,99.7,462.61,1549.37,289.13,289.88,278.14,2869.13,5504.49,2913.5,50.4
FIN000053,CON002,Emma Patel,RG02,2024,4,4760.69,842.39,5603.08,5000.0,800.0,5800.0,-196.92,96.6,448.25,1428.21,280.15,292.05,379.08,2827.74,5224.0,2775.34,49.5
FIN000054,CON002,Emma Patel,RG02,2024,5,4495.49,594.08,5089.57,5000.0,800.0,5800.0,-710.43,87.8,407.17,1348.65,254.48,452.44,267.34,2730.08,4822.23,2359.49,46.4
FIN000055,CON002,Emma Patel,RG02,2024,6,4876.33,1074.17,5950.5,5400.0,864.0,6264.0,-313.5,95.0,476.04,1462.9,297.53,543.85,483.38,3263.7,5467.12,2686.8,45.2
FIN000056,CON002,Emma Patel,RG02,2024,7,4492.18,728.18,5220.36,5400.0,864.0,6264.0,-1043.64,83.3,417.63,1347.65,261.02,467.59,327.68,2821.57,4892.68,2398.79,46.0
FIN000057,CON002,Emma Patel,RG02,2024,8,4840.6,673.39,5513.99,5400.0,864.0,6264.0,-750.01,88.0,441.12,1452.18,275.7,574.21,303.03,3046.24,5210.96,2467.75,44.8
FIN000058,CON002,Emma Patel,RG02,2024,9,5284.85,786.88,6071.73,5000.0,800.0,5800.0,271.73,104.7,485.74,1585.46,303.59,513.85,354.1,3242.74,5717.63,2828.99,46.6
FIN000059,CON002,Emma Patel,RG02,2024,10,5816.87,651.4,6468.27,5000.0,800.0,5800.0,668.27,111.5,517.46,1745.06,323.41,238.77,293.13,3117.83,6175.14,3350.44,51.8
FIN000060,CON002,Emma Patel,RG02,2024,11,5715.34,877.82,6593.16,5750.0,920.0,6670.0,-76.84,98.8,527.45,1714.6,329.66,386.81,395.02,3353.54,6198.14,3239.62,49.1
FIN000061,CON002,Emma Patel,RG02,2024,12,6486.48,1015.7,7502.18,5750.0,920.0,6670.0,832.18,112.5,600.17,1945.94,375.11,593.67,457.07,3971.96,7045.11,3530.22,47.1
FIN000062,CON002,Emma Patel,RG02,2025,1,3714.87,662.87,4377.74,4400.0,704.0,5104.0,-726.26,85.8,350.22,1114.46,218.89,335.72,298.29,2317.58,4079.45,2060.16,47.1
FIN000063,CON002,Emma Patel,RG02,2025,2,5226.11,597.83,5823.94,4400.0,704.0,5104.0,719.94,114.1,465.92,1567.83,291.2,276.08,269.02,2870.05,5554.92,2953.89,50.7
FIN000064,CON002,Emma Patel,RG02,2025,3,5009.38,762.5,5771.88,5000.0,800.0,5800.0,-28.12,99.5,461.75,1502.81,288.59,311.42,343.12,2907.69,5428.76,2864.19,49.6
FIN000065,CON002,Emma Patel,RG02,2025,4,4562.06,1003.17,5565.23,5000.0,800.0,5800.0,-234.77,96.0,445.22,1368.62,278.26,377.25,451.43,2920.78,5113.8,2644.45,47.5
FIN000066,CON002,Emma Patel,RG02,2025,5,5938.04,824.16,6762.2,5000.0,800.0,5800.0,962.2,116.6,540.98,1781.41,338.11,220.24,370.87,3251.61,6391.33,3510.59,51.9
FIN000067,CON002,Emma Patel,RG02,2025,6,6748.26,1038.2,7786.46,5400.0,864.0,6264.0,1522.46,124.3,622.92,2024.48,389.32,587.6,467.19,4091.51,7319.27,3694.95,47.5
FIN000068,CON002,Emma Patel,RG02,2025,7,6571.07,1044.76,7615.83,5400.0,864.0,6264.0,1351.83,121.6,609.27,1971.32,380.79,266.52,470.14,3698.04,7145.69,3917.79,51.4
FIN000069,CON002,Emma Patel,RG02,2025,8,5500.11,715.61,6215.72,5400.0,864.0,6264.0,-48.28,99.2,497.26,1650.03,310.79,360.42,322.02,3140.52,5893.7,3075.2,49.5
FIN000070,CON002,Emma Patel,RG02,2025,9,4131.93,741.91,4873.84,5000.0,800.0,5800.0,-926.16,84.0,389.91,1239.58,243.69,594.12,333.86,2801.16,4539.98,2072.68,42.5
FIN000071,CON002,Emma Patel,RG02,2025,10,4596.71,936.35,5533.06,5000.0,800.0,5800.0,-266.94,95.4,442.64,1379.01,276.65,382.0,421.36,2901.66,5111.7,2631.4,47.6
FIN000072,CON002,Emma Patel,RG02,2025,11,5694.53,1172.44,6866.97,5750.0,920.0,6670.0,196.97,103.0,549.36,1708.36,343.35,598.17,527.6,3726.84,6339.37,3140.13,45.7
FIN000073,CON002,Emma Patel,RG02,2025,12,6038.05,1040.56,7078.61,5750.0,920.0,6670.0,408.61,106.1,566.29,1811.41,353.93,261.92,468.25,3461.8,6610.36,3616.81,51.1
FIN000074,CON002,Emma Patel,RG02,2026,1,4107.48,901.98,5009.46,4400.0,704.0,5104.0,-94.54,98.1,400.76,1232.24,250.47,431.67,405.89,2721.03,4603.57,2288.43,45.7
FIN000075,CON003,Claire Hughes,RG03,2023,1,2756.13,808.74,3564.87,2640.0,704.0,3344.0,220.87,106.6,285.19,826.84,178.24,222.87,363.93,1877.07,3200.94,1687.8,47.3
FIN000076,CON003,Claire Hughes,RG03,2023,2,2806.0,705.2,3511.2,2640.0,704.0,3344.0,167.2,105.0,280.9,841.8,175.56,541.09,317.34,2156.69,3193.86,1354.51,38.6
FIN000077,CON003,Claire Hughes,RG03,2023,3,2612.53,1021.17,3633.7,3000.0,800.0,3800.0,-166.3,95.6,290.7,783.76,181.69,232.04,459.53,1947.72,3174.17,1685.98,46.4
FIN000078,CON003,Claire Hughes,RG03,2023,4,2650.86,845.62,3496.48,3000.0,800.0,3800.0,-303.52,92.0,279.72,795.26,174.82,470.09,380.53,2100.42,3115.95,1396.06,39.9
FIN000079,CON003,Claire Hughes,RG03,2023,5,2717.53,617.55,3335.08,3000.0,800.0,3800.0,-464.92,87.8,266.81,815.26,166.75,556.11,277.9,2082.83,3057.18,1252.25,37.5
FIN000080,CON003,Claire Hughes,RG03,2023,6,2950.98,913.0,3863.98,3240.0,864.0,4104.0,-240.02,94.2,309.12,885.29,193.2,447.75,410.85,2246.21,3453.13,1617.77,41.9
FIN000081,CON003,Claire Hughes,RG03,2023,7,3203.23,907.38,4110.61,3240.0,864.0,4104.0,6.61,100.2,328.85,960.97,205.53,409.11,408.32,2312.78,3702.29,1797.83,43.7
FIN000082,CON003,Claire Hughes,RG03,2023,8,3954.8,710.69,4665.49,3240.0,864.0,4104.0,561.49,113.7,373.24,1186.44,233.27,486.48,319.81,2599.24,4345.68,2066.25,44.3
FIN000083,CON003,Claire Hughes,RG03,2023,9,2722.23,749.98,3472.21,3000.0,800.0,3800.0,-327.79,91.4,277.78,816.67,173.61,468.68,337.49,2074.23,3134.72,1397.98,40.3
FIN000084,CON003,Claire Hughes,RG03,2023,10,2805.0,711.77,3516.77,3000.0,800.0,3800.0,-283.23,92.5,281.34,841.5,175.84,500.75,320.3,2119.73,3196.47,1397.04,39.7
FIN000085,CON003,Claire Hughes,RG03,2023,11,2872.62,896.97,3769.59,3450.0,920.0,4370.0,-600.41,86.3,301.57,861.79,188.48,599.38,403.64,2354.86,3365.95,1414.73,37.5
FIN000086,CON003,Claire Hughes,RG03,2023,12,4306.44,684.44,4990.88,3450.0,920.0,4370.0,620.88,114.2,399.27,1291.93,249.54,285.26,308.0,2534.0,4682.88,2456.88,49.2
FIN000087,CON003,Claire Hughes,RG03,2024,1,2427.06,887.01,3314.07,2640.0,704.0,3344.0,-29.93,99.1,265.13,728.12,165.7,552.35,399.15,2110.45,2914.92,1203.62,36.3
FIN000088,CON003,Claire Hughes,RG03,2024,2,3156.57,648.89,3805.46,2640.0,704.0,3344.0,461.46,113.8,304.44,946.97,190.27,263.1,292.0,1996.78,3513.46,1808.68,47.5
FIN000089,CON003,Claire Hughes,RG03,2024,3,3525.56,897.7,4423.26,3000.0,800.0,3800.0,623.26,116.4,353.86,1057.67,221.16,444.67,403.97,2481.33,4019.29,1941.93,43.9
FIN000090,CON003,Claire Hughes,RG03,2024,4,3732.76,873.91,4606.67,3000.0,800.0,3800.0,806.67,121.2,368.53,1119.83,230.33,203.13,393.26,2315.08,4213.41,2291.59,49.7
FIN000091,CON003,Claire Hughes,RG03,2024,5,3503.09,703.7,4206.79,3000.0,800.0,3800.0,406.79,110.7,336.54,1050.93,210.34,465.36,316.67,2379.84,3890.12,1826.95,43.4
FIN000092,CON003,Claire Hughes,RG03,2024,6,3960.96,674.42,4635.38,3240.0,864.0,4104.0,531.38,112.9,370.83,1188.29,231.77,246.17,303.49,2340.55,4331.89,2294.83,49.5
FIN000093,CON003,Claire Hughes,RG03,2024,7,2748.06,891.59,3639.65,3240.0,864.0,4104.0,-464.35,88.7,291.17,824.42,181.98,308.94,401.22,2007.73,3238.43,1631.92,44.8
FIN000094,CON003,Claire Hughes,RG03,2024,8,3473.84,976.81,4450.65,3240.0,864.0,4104.0,346.65,108.4,356.05,1042.15,222.53,281.44,439.56,2341.73,4011.09,2108.92,47.4
FIN000095,CON003,Claire Hughes,RG03,2024,9,3256.22,686.71,3942.93,3000.0,800.0,3800.0,142.93,103.8,315.43,976.87,197.15,395.41,309.02,2193.88,3633.91,1749.05,44.4
FIN000096,CON003,Claire Hughes,RG03,2024,10,3622.2,966.13,4588.33,3000.0,800.0,3800.0,788.33,120.7,367.07,1086.66,229.42,236.92,434.76,2354.83,4153.57,2233.5,48.7
FIN000097,CON003,Claire Hughes,RG03,2024,11,3417.6,796.73,4214.33,3450.0,920.0,4370.0,-155.67,96.4,337.15,1025.28,210.72,201.42,358.53,2133.1,3855.8,2081.23,49.4
FIN000098,CON003,Claire Hughes,RG03,2024,12,3957.16,995.69,4952.85,3450.0,920.0,4370.0,582.85,113.3,396.23,1187.15,247.64,304.78,448.06,2583.86,4504.79,2368.99,47.8
FIN000099,CON003,Claire Hughes,RG03,2025,1,2992.58,725.83,3718.41,2640.0,704.0,3344.0,374.41,111.2,297.47,897.77,185.92,371.07,326.62,2078.85,3391.79,1639.56,44.1
FIN000100,CON003,Claire Hughes,RG03,2025,2,2123.49,524.58,2648.07,2640.0,704.0,3344.0,-695.93,79.2,211.85,637.05,132.4,553.24,236.06,1770.6,2412.01,877.47,33.1
FIN000101,CON003,Claire Hughes,RG03,2025,3,3620.3,821.88,4442.18,3000.0,800.0,3800.0,642.18,116.9,355.37,1086.09,222.11,533.84,369.85,2567.26,4072.33,1874.92,42.2
FIN000102,CON003,Claire Hughes,RG03,2025,4,3186.39,631.09,3817.48,3000.0,800.0,3800.0,17.48,100.5,305.4,955.92,190.87,250.98,283.99,1987.16,3533.49,1830.32,47.9
FIN000103,CON003,Claire Hughes,RG03,2025,5,2816.15,991.51,3807.66,3000.0,800.0,3800.0,7.66,100.2,304.61,844.85,190.38,518.45,446.18,2304.47,3361.48,1503.19,39.5
FIN000104,CON003,Claire Hughes,RG03,2025,6,3846.9,1070.8,4917.7,3240.0,864.0,4104.0,813.7,119.8,393.42,1154.07,245.88,284.03,481.86,2559.26,4435.84,2358.44,48.0
FIN000105,CON003,Claire Hughes,RG03,2025,7,2955.81,658.09,3613.9,3240.0,864.0,4104.0,-490.1,88.1,289.11,886.74,180.7,512.05,296.14,2164.74,3317.76,1449.16,40.1
FIN000106,CON003,Claire Hughes,RG03,2025,8,3881.07,815.47,4696.54,3240.0,864.0,4104.0,592.54,114.4,375.72,1164.32,234.83,448.26,366.96,2590.09,4329.58,2106.45,44.9
FIN000107,CON003,Claire Hughes,RG03,2025,9,2608.65,1006.34,3614.99,3000.0,800.0,3800.0,-185.01,95.1,289.2,782.6,180.75,545.84,452.85,2251.24,3162.14,1363.75,37.7
FIN000108,CON003,Claire Hughes,RG03,2025,10,3717.88,949.17,4667.05,3000.0,800.0,3800.0,867.05,122.8,373.36,1115.36,233.35,552.57,427.13,2701.77,4239.92,1965.28,42.1
FIN000109,CON003,Claire Hughes,RG03,2025,11,2798.48,1050.58,3849.06,3450.0,920.0,4370.0,-520.94,88.1,307.92,839.54,192.45,332.87,472.76,2145.54,3376.3,1703.52,44.3
FIN000110,CON003,Claire Hughes,RG03,2025,12,4205.09,1086.83,5291.92,3450.0,920.0,4370.0,921.92,121.1,423.35,1261.53,264.6,545.63,489.07,2984.18,4802.85,2307.74,43.6
FIN000111,CON003,Claire Hughes,RG03,2026,1,3075.17,605.5,3680.67,2640.0,704.0,3344.0,336.67,110.1,294.45,922.55,184.03,514.95,272.48,2188.46,3408.19,1492.21,40.5
FIN000112,CON004,Lisa Carter,RG04,2023,1,3734.03,861.2,4595.23,4400.0,704.0,5104.0,-508.77,90.0,367.62,1120.21,229.76,543.44,387.54,2648.57,4207.69,1946.66,42.4
FIN000113,CON004,Lisa Carter,RG04,2023,2,3960.42,837.73,4798.15,4400.0,704.0,5104.0,-305.85,94.0,383.85,1188.13,239.91,384.12,376.98,2572.99,4421.17,2225.16,46.4
FIN000114,CON004,Lisa Carter,RG04,2023,3,4686.68,941.77,5628.45,5000.0,800.0,5800.0,-171.55,97.0,450.28,1406.0,281.42,291.04,423.8,2852.54,5204.65,2775.91,49.3
FIN000115,CON004,Lisa Carter,RG04,2023,4,4053.24,652.7,4705.94,5000.0,800.0,5800.0,-1094.06,81.1,376.48,1215.97,235.3,331.3,293.72,2452.77,4412.22,2253.17,47.9
FIN000116,CON004,Lisa Carter,RG04,2023,5,5944.79,1024.11,6968.9,5000.0,800.0,5800.0,1168.9,120.2,557.51,1783.44,348.44,311.65,460.85,3461.89,6508.05,3507.01,50.3
FIN000117,CON004,Lisa Carter,RG04,2023,6,5878.8,811.99,6690.79,5400.0,864.0,6264.0,426.79,106.8,535.26,1763.64,334.54,592.46,365.4,3591.3,6325.39,3099.49,46.3
FIN000118,CON004,Lisa Carter,RG04,2023,7,5623.0,1091.7,6714.7,5400.0,864.0,6264.0,450.7,107.2,537.18,1686.9,335.74,246.14,491.27,3297.23,6223.43,3417.47,50.9
FIN000119,CON004,Lisa Carter,RG04,2023,8,6678.07,697.37,7375.44,5400.0,864.0,6264.0,1111.44,117.7,590.04,2003.42,368.77,585.01,313.82,3861.06,7061.62,3514.38,47.6
FIN000120,CON004,Lisa Carter,RG04,2023,9,4597.3,612.03,5209.33,5000.0,800.0,5800.0,-590.67,89.8,416.75,1379.19,260.47,373.83,275.41,2705.65,4933.92,2503.68,48.1
FIN000121,CON004,Lisa Carter,RG04,2023,10,5639.23,710.57,6349.8,5000.0,800.0,5800.0,549.8,109.5,507.98,1691.77,317.49,442.48,319.76,3279.48,6030.04,3070.32,48.4
FIN000122,CON004,Lisa Carter,RG04,2023,11,5923.31,856.63,6779.94,5750.0,920.0,6670.0,109.94,101.6,542.4,1776.99,339.0,430.64,385.48,3474.51,6394.46,3305.43,48.8
FIN000123,CON004,Lisa Carter,RG04,2023,12,5259.09,1035.25,6294.34,5750.0,920.0,6670.0,-375.66,94.4,503.55,1577.73,314.72,200.68,465.86,3062.54,5828.48,3231.8,51.3
FIN000124,CON004,Lisa Carter,RG04,2024,1,5352.64,720.24,6072.88,4400.0,704.0,5104.0,968.88,119.0,485.83,1605.79,303.64,487.77,324.11,3207.14,5748.77,2865.74,47.2
FIN000125,CON004,Lisa Carter,RG04,2024,2,4989.06,776.07,5765.13,4400.0,704.0,5104.0,661.13,113.0,461.21,1496.72,288.26,345.69,349.23,2941.11,5415.9,2824.02,49.0
FIN000126,CON004,Lisa Carter,RG04,2024,3,4157.44,878.83,5036.27,5000.0,800.0,5800.0,-763.73,86.8,402.9,1247.23,251.81,332.08,395.47,2629.49,4640.8,2406.78,47.8
FIN000127,CON004,Lisa Carter,RG04,2024,4,4706.31,967.05,5673.36,5000.0,800.0,5800.0,-126.64,97.8,453.87,1411.89,283.67,487.9,435.17,3072.5,5238.19,2600.86,45.8
FIN000128,CON004,Lisa Carter,RG04,2024,5,4675.73,708.46,5384.19,5000.0,800.0,5800.0,-415.81,92.8,430.74,1402.72,269.21,363.36,318.81,2784.84,5065.38,2599.35,48.3
FIN000129,CON004,Lisa Carter,RG04,2024,6,5297.83,758.07,6055.9,5400.0,864.0,6264.0,-208.1,96.7,484.47,1589.35,302.8,250.92,341.13,2968.67,5714.77,3087.23,51.0
FIN000130,CON004,Lisa Carter,RG04,2024,7,5341.68,1092.28,6433.96,5400.0,864.0,6264.0,169.96,102.7,514.72,1602.5,321.7,470.93,491.53,3401.38,5942.43,3032.58,47.1
