TrainingID,StylistID,StylistName,ConsultantID,RegionID,CertificationLevel,Module,TrainingDate,PassDate,ExpiryDate,Score_Pct,CertStatus,DistinctionAchieved
TRN000078,STY006,Anna Singh,CON002,RG02,Level 1 — Colour,Seasonal Analysis Basics,2018-01-25,2018-02-12,2020-02-12,69.4,Expired,No
TRN000079,STY006,Anna Singh,CON002,RG02,Level 1 — Colour,Draping Technique,2018-01-25,2018-02-12,2020-02-12,69.4,Expired,No
TRN000080,STY006,Anna Singh,CON002,RG02,Level 1 — Colour,Client Communication,2018-01-25,2018-02-12,2020-02-12,69.4,Expired,No
TRN000081,STY006,Anna Singh,CON002,RG02,Level 2 — Style,Body Shape Analysis,2018-07-09,2018-08-10,2020-08-09,98.5,Expired,Yes
TRN000082,STY006,Anna Singh,CON002,RG02,Level 2 — Style,Clothing Lines & Textures,2018-07-09,2018-08-10,2020-08-09,98.5,Expired,Yes
TRN000083,STY006,Anna Singh,CON002,RG02,Level 2 — Style,Style Archetypes,2018-07-09,2018-08-10,2020-08-09,98.5,Expired,Yes
TRN000084,STY006,Anna Singh,CON002,RG02,Level 2 — Style,Wardrobe Building,2018-07-09,2018-08-10,2020-08-09,98.5,Expired,Yes
TRN000085,STY006,Anna Singh,CON002,RG02,Level 3 — Full Stylist,Advanced Colour,2019-01-25,2019-02-22,2021-02-21,94.9,Expired,Yes
TRN000086,STY006,Anna Singh,CON002,RG02,Level 3 — Full Stylist,Advanced Style,2019-01-25,2019-02-22,2021-02-21,94.9,Expired,Yes
TRN000087,STY006,Anna Singh,CON002,RG02,Level 3 — Full Stylist,Makeup Integration,2019-01-25,2019-02-22,2021-02-21,94.9,Expired,Yes
TRN000088,STY006,Anna Singh,CON002,RG02,Level 3 — Full Stylist,Business Development,2019-01-25,2019-02-22,2021-02-21,94.9,Expired,Yes
TRN000089,STY007,Kate Okoye,CON003,RG03,Level 1 — Colour,Colour Theory Fundamentals,2020-09-19,2020-10-20,2022-10-20,82.1,Expired,No
TRN000090,STY007,Kate Okoye,CON003,RG03,Level 1 — Colour,Seasonal Analysis Basics,2020-09-19,2020-10-20,2022-10-20,82.1,Expired,No
TRN000091,STY007,Kate Okoye,CON003,RG03,Level 1 — Colour,Draping Technique,2020-09-19,2020-10-20,2022-10-20,82.1,Expired,No
TRN000092,STY007,Kate Okoye,CON003,RG03,Level 1 — Colour,Client Communication,2020-09-19,2020-10-20,2022-10-20,82.1,Expired,No
TRN000093,STY007,Kate Okoye,CON003,RG03,Level 2 — Style,Body Shape Analysis,2021-04-01,2021-05-08,2023-05-08,73.0,Expired,No
TRN000094,STY007,Kate Okoye,CON003,RG03,Level 2 — Style,Clothing Lines & Textures,2021-04-01,2021-05-08,2023-05-08,73.0,Expired,No
TRN000095,STY007,Kate Okoye,CON003,RG03,Level 2 — Style,Style Archetypes,2021-04-01,2021-05-08,2023-05-08,73.0,Expired,No
TRN000096,STY007,Kate Okoye,CON003,RG03,Level 2 — Style,Wardrobe Building,2021-04-01,2021-05-08,2023-05-08,73.0,Expired,No
TRN000097,STY007,Kate Okoye,CON003,RG03,Level 3 — Full Stylist,Advanced Colour,2021-09-13,2021-10-10,2023-10-10,88.8,Expired,Yes
TRN000098,STY007,Kate Okoye,CON003,RG03,Level 3 — Full Stylist,Advanced Style,2021-09-13,2021-10-10,2023-10-10,88.8,Expired,Yes
TRN000099,STY007,Kate Okoye,CON003,RG03,Level 3 — Full Stylist,Makeup Integration,2021-09-13,2021-10-10,2023-10-10,88.8,Expired,Yes
TRN000100,STY007,Kate Okoye,CON003,RG03,Level 3 — Full Stylist,Business Development,2021-09-13,2021-10-10,2023-10-10,88.8,Expired,Yes
TRN000101,STY007,Kate Okoye,CON003,RG03,Senior Stylist,Mentoring Skills,2022-03-23,2022-05-19,2024-05-18,88.1,Expired,Yes
TRN000102,STY007,Kate Okoye,CON003,RG03,Senior Stylist,Workshop Facilitation,2022-03-23,2022-05-19,2024-05-18,88.1,Expired,Yes
TRN000103,STY007,Kate Okoye,CON003,RG03,Senior Stylist,Corporate Clients,2022-03-23,2022-05-19,2024-05-18,88.1,Expired,Yes
TRN000104,STY007,Kate Okoye,CON003,RG03,Senior Stylist,Advanced Draping,2022-03-23,2022-05-19,2024-05-18,88.1,Expired,Yes
TRN000105,STY008,Helen Chen,CON003,RG03,Level 1 — Colour,Colour Theory Fundamentals,2018-10-30,2018-12-23,2020-12-22,73.3,Expired,No
TRN000106,STY008,Helen Chen,CON003,RG03,Level 1 — Colour,Seasonal Analysis Basics,2018-10-30,2018-12-23,2020-12-22,73.3,Expired,No
TRN000107,STY008,Helen Chen,CON003,RG03,Level 1 — Colour,Draping Technique,2018-10-30,2018-12-23,2020-12-22,73.3,Expired,No
TRN000108,STY008,Helen Chen,CON003,RG03,Level 1 — Colour,Client Communication,2018-10-30,2018-12-23,2020-12-22,73.3,Expired,No
TRN000109,STY009,Fiona Williams,CON003,RG03,Level 1 — Colour,Colour Theory Fundamentals,2023-12-25,2024-01-23,2026-01-22,73.1,Expired,No
TRN000110,STY009,Fiona Williams,CON003,RG03,Level 1 — Colour,Seasonal Analysis Basics,2023-12-25,2024-01-23,2026-01-22,73.1,Expired,No
TRN000111,STY009,Fiona Williams,CON003,RG03,Level 1 — Colour,Draping Technique,2023-12-25,2024-01-23,2026-01-22,73.1,Expired,No
TRN000112,STY009,Fiona Williams,CON003,RG03,Level 1 — Colour,Client Communication,2023-12-25,2024-01-23,2026-01-22,73.1,Expired,No
TRN000113,STY009,Fiona Williams,CON003,RG03,Level 2 — Style,Body Shape Analysis,2024-06-11,2024-07-12,2026-07-12,98.7,Active,Yes
TRN000114,STY009,Fiona Williams,CON003,RG03,Level 2 — Style,Clothing Lines & Textures,2024-06-11,2024-07-12,2026-07-12,98.7,Active,Yes
TRN000115,STY009,Fiona Williams,CON003,RG03,Level 2 — Style,Style Archetypes,2024-06-11,2024-07-12,2026-07-12,98.7,Active,Yes
TRN000116,STY009,Fiona Williams,CON003,RG03,Level 2 — Style,Wardrobe Building,2024-06-11,2024-07-12,2026-07-12,98.7,Active,Yes
TRN000117,STY009,Fiona Williams,CON003,RG03,Level 3 — Full Stylist,Advanced Colour,2024-12-16,2025-02-12,2027-02-12,85.3,Active,Yes
TRN000118,STY009,Fiona Williams,CON003,RG03,Level 3 — Full Stylist,Advanced Style,2024-12-16,2025-02-12,2027-02-12,85.3,Active,Yes
TRN000119,STY009,Fiona Williams,CON003,RG03,Level 3 — Full Stylist,Makeup Integration,2024-12-16,2025-02-12,2027-02-12,85.3,Active,Yes
TRN000120,STY009,Fiona Williams,CON003,RG03,Level 3 — Full Stylist,Business Development,2024-12-16,2025-02-12,2027-02-12,85.3,Active,Yes
TRN000121,STY010,Rachel Johnson,CON004,RG04,Level 1 — Colour,Colour Theory Fundamentals,2021-07-21,2021-08-24,2023-08-24,94.1,Expired,Yes
TRN000122,STY010,Rachel Johnson,CON004,RG04,Level 1 — Colour,Seasonal Analysis Basics,2021-07-21,2021-08-24,2023-08-24,94.1,Expired,Yes
TRN000123,STY010,Rachel Johnson,CON004,RG04,Level 1 — Colour,Draping Technique,2021-07-21,2021-08-24,2023-08-24,94.1,Expired,Yes
TRN000124,STY010,Rachel Johnson,CON004,RG04,Level 1 — Colour,Client Communication,2021-07-21,2021-08-24,2023-08-24,94.1,Expired,Yes
TRN000125,STY010,Rachel Johnson,CON004,RG04,Level 2 — Style,Body Shape Analysis,2022-01-20,2022-02-06,2024-02-06,75.1,Expired,No
TRN000126,STY010,Rachel Johnson,CON004,RG04,Level 2 — Style,Clothing Lines & Textures,2022-01-20,2022-02-06,2024-02-06,75.1,Expired,No
TRN000127,STY010,Rachel Johnson,CON004,RG04,Level 2 — Style,Style Archetypes,2022-01-20,2022-02-06,2024-02-06,75.1,Expired,No
TRN000128,STY010,Rachel Johnson,CON004,RG04,Level 2 — Style,Wardrobe Building,2022-01-20,2022-02-06,2024-02-06,75.1,Expired,No
TRN000129,STY010,Rachel Johnson,CON004,RG04,Level 3 — Full Stylist,Advanced Colour,2022-06-26,2022-07-30,2024-07-29,80.4,Expired,No
TRN000130,STY010,Rachel Johnson,CON004,RG04,Level 3 — Full Stylist,Advanced Style,2022-06-26,2022-07-30,2024-07-29,80.4,Expired,No
TRN000131,STY010,Rachel Johnson,CON004,RG04,Level 3 — Full Stylist,Makeup Integration,2022-06-26,2022-07-30,2024-07-29,80.4,Expired,No
TRN000132,STY010,Rachel Johnson,CON004,RG04,Level 3 — Full Stylist,Business Development,2022-06-26,2022-07-30,2024-07-29,80.4,Expired,No
TRN000133,STY011,James Smith,CON004,RG04,Level 1 — Colour,Colour Theory Fundamentals,2018-09-22,2018-10-19,2020-10-18,96.3,Expired,Yes
TRN000134,STY011,James Smith,CON004,RG04,Level 1 — Colour,Seasonal Analysis Basics,2018-09-22,2018-10-19,2020-10-18,96.3,Expired,Yes
TRN000135,STY011,James Smith,CON004,RG04,Level 1 — Colour,Draping Technique,2018-09-22,2018-10-19,2020-10-18,96.3,Expired,Yes
TRN000136,STY011,James Smith,CON004,RG04,Level 1 — Colour,Client Communication,2018-09-22,2018-10-19,2020-10-18,96.3,Expired,Yes
TRN000137,STY012,David Brown,CON004,RG04,Level 1 — Colour,Colour Theory Fundamentals,2018-09-17,2018-11-15,2020-11-14,77.8,Expired,No
TRN000138,STY012,David Brown,CON004,RG04,Level 1 — Colour,Seasonal Analysis Basics,2018-09-17,2018-11-15,2020-11-14,77.8,Expired,No
TRN000139,STY012,David Brown,CON004,RG04,Level 1 — Colour,Draping Technique,2018-09-17,2018-11-15,2020-11-14,77.8,Expired,No
TRN000140,STY012,David Brown,CON004,RG04,Level 1 — Colour,Client Communication,2018-09-17,2018-11-15,2020-11-14,77.8,Expired,No
TRN000141,STY012,David Brown,CON004,RG04,Level 2 — Style,Body Shape Analysis,2019-03-18,2019-05-02,2021-05-01,80.3,Expired,No
TRN000142,STY012,David Brown,CON004,RG04,Level 2 — Style,Clothing Lines & Textures,2019-03-18,2019-05-02,2021-05-01,80.3,Expired,No
TRN000143,STY012,David Brown,CON004,RG04,Level 2 — Style,Style Archetypes,2019-03-18,2019-05-02,2021-05-01,80.3,Expired,No
TRN000144,STY012,David Brown,CON004,RG04,Level 2 — Style,Wardrobe Building,2019-03-18,2019-05-02,2021-05-01,80.3,Expired,No
TRN000145,STY013,Mark Taylor,CON004,RG04,Level 1 — Colour,Colour Theory Fundamentals,2021-03-15,2021-05-09,2023-05-09,82.2,Expired,No
TRN000146,STY013,Mark Taylor,CON004,RG04,Level 1 — Colour,Seasonal Analysis Basics,2021-03-15,2021-05-09,2023-05-09,82.2,Expired,No
TRN000147,STY013,Mark Taylor,CON004,RG04,Level 1 — Colour,Draping Technique,2021-03-15,2021-05-09,2023-05-09,82.2,Expired,No
TRN000148,STY013,Mark Taylor,CON004,RG04,Level 1 — Colour,Client Communication,2021-03-15,2021-05-09,2023-05-09,82.2,Expired,No
TRN000149,STY014,Tom Davis,CON005,RG05,Level 1 — Colour,Colour Theory Fundamentals,2023-04-30,2023-05-22,2025-05-21,75.6,Expired,No
TRN000150,STY014,Tom Davis,CON005,RG05,Level 1 — Colour,Seasonal Analysis Basics,2023-04-30,2023-05-22,2025-05-21,75.6,Expired,No
TRN000151,STY014,Tom Davis,CON005,RG05,Level 1 — Colour,Draping Technique,2023-04-30,2023-05-22,2025-05-21,75.6,Expired,No
TRN000152,STY014,Tom Davis,CON005,RG05,Level 1 — Colour,Client Communication,2023-04-30,2023-05-22,2025-05-21,75.6,Expired,No
TRN000153,STY014,Tom Davis,CON005,RG05,Level 2 — Style,Body Shape Analysis,2023-11-05,2023-12-23,2025-12-22,76.1,Expired,No
TRN000154,STY014,Tom Davis,CON005,RG05,Level 2 — Style,Clothing Lines & Textures,2023-11-05,2023-12-23,2025-12-22,76.1,Expired,No
TRN000155,STY014,Tom Davis,CON005,RG05,Level 2 — Style,Style Archetypes,2023-11-05,2023-12-23,2025-12-22,76.1,Expired,No
TRN000156,STY014,Tom Davis,CON005,RG05,Level 2 — Style,Wardrobe Building,2023-11-05,2023-12-23,2025-12-22,76.1,Expired,No
TRN000157,STY014,Tom Davis,CON005,RG05,Level 3 — Full Stylist,Advanced Colour,2024-05-04,2024-06-14,2026-06-14,95.8,Active,Yes
TRN000158,STY014,Tom Davis,CON005,RG05,Level 3 — Full Stylist,Advanced Style,2024-05-04,2024-06-14,2026-06-14,95.8,Active,Yes
TRN000159,STY014,Tom Davis,CON005,RG05,Level 3 — Full Stylist,Makeup Integration,2024-05-04,2024-06-14,2026-06-14,95.8,Active,Yes
TRN000160,STY014,Tom Davis,CON005,RG05,Level 3 — Full Stylist,Business Development,2024-05-04,2024-06-14,2026-06-14,95.8,Active,Yes
TRN000161,STY015,Raj Miller,CON005,RG05,Level 1 — Colour,Colour Theory Fundamentals,2023-04-09,2023-05-16,2025-05-15,74.8,Expired,No
TRN000162,STY015,Raj Miller,CON005,RG05,Level 1 — Colour,Seasonal Analysis Basics,2023-04-09,2023-05-16,2025-05-15,74.8,Expired,No
TRN000163,STY015,Raj Miller,CON005,RG05,Level 1 — Colour,Draping Technique,2023-04-09,2023-05-16,2025-05-15,74.8,Expired,No
TRN000164,STY015,Raj Miller,CON005,RG05,Level 1 — Colour,Client Communication,2023-04-09,2023-05-16,2025-05-15,74.8,Expired,No
TRN000165,STY015,Raj Miller,CON005,RG05,Level 2 — Style,Body Shape Analysis,2023-09-28,2023-11-13,2025-11-12,83.3,Expired,No
TRN000166,STY015,Raj Miller,CON005,RG05,Level 2 — Style,Clothing Lines & Textures,2023-09-28,2023-11-13,2025-11-12,83.3,Expired,No
TRN000167,STY015,Raj Miller,CON005,RG05,Level 2 — Style,Style Archetypes,2023-09-28,2023-11-13,2025-11-12,83.3,Expired,No
TRN000168,STY015,Raj Miller,CON005,RG05,Level 2 — Style,Wardrobe Building,2023-09-28,2023-11-13,2025-11-12,83.3,Expired,No
TRN000169,STY016,Liam Wilson,CON005,RG05,Level 1 — Colour,Colour Theory Fundamentals,2020-11-08,2020-11-25,2022-11-25,94.7,Expired,Yes
TRN000170,STY016,Liam Wilson,CON005,RG05,Level 1 — Colour,Seasonal Analysis Basics,2020-11-08,2020-11-25,2022-11-25,94.7,Expired,Yes
TRN000171,STY016,Liam Wilson,CON005,RG05,Level 1 — Colour,Draping Technique,2020-11-08,2020-11-25,2022-11-25,94.7,Expired,Yes
TRN000172,STY016,Liam Wilson,CON005,RG05,Level 1 — Colour,Client Communication,2020-11-08,2020-11-25,2022-11-25,94.7,Expired,Yes
TRN000173,STY016,Liam Wilson,CON005,RG05,Level 2 — Style,Body Shape Analysis,2021-04-17,2021-06-10,2023-06-10,73.0,Expired,No
TRN000174,STY016,Liam Wilson,CON005,RG05,Level 2 — Style,Clothing Lines & Textures,2021-04-17,2021-06-10,2023-06-10,73.0,Expired,No
TRN000175,STY016,Liam Wilson,CON005,RG05,Level 2 — Style,Style Archetypes,2021-04-17,2021-06-10,2023-06-10,73.0,Expired,No
TRN000176,STY016,Liam Wilson,CON005,RG05,Level 2 — Style,Wardrobe Building,2021-04-17,2021-06-10,2023-06-10,73.0,Expired,No
TRN000177,STY016,Liam Wilson,CON005,RG05,Level 3 — Full Stylist,Advanced Colour,2021-10-31,2021-12-11,2023-12-11,86.5,Expired,Yes
TRN000178,STY016,Liam Wilson,CON005,RG05,Level 3 — Full Stylist,Advanced Style,2021-10-31,2021-12-11,2023-12-11,86.5,Expired,Yes
TRN000179,STY016,Liam Wilson,CON005,RG05,Level 3 — Full Stylist,Makeup Integration,2021-10-31,2021-12-11,2023-12-11,86.5,Expired,Yes
TRN000180,STY016,Liam Wilson,CON005,RG05,Level 3 — Full Stylist,Business Development,2021-10-31,2021-12-11,2023-12-11,86.5,Expired,Yes
