BudgetID,ConsultantID,ConsultantName,RegionID,Year,AnnualConsultationBudget_GBP,AnnualRetailBudget_GBP,AnnualTotalBudget_GBP,NewClientTarget,MonthlyAvgBudget_GBP
BUD00084,CON021,Jessica White,RG01,2026,59520.0,14880.0,74400.0,112,6200.0
BUD00085,CON022,Lucy Harris,RG02,2023,54000.0,12000.0,66000.0,125,5500.0
BUD00086,CON022,Lucy Harris,RG02,2024,58320.0,12960.0,71280.0,112,5940.0
BUD00087,CON022,Lucy Harris,RG02,2025,62640.0,13920.0,76560.0,154,6380.0
BUD00088,CON022,Lucy Harris,RG02,2026,66960.0,14880.0,81840.0,90,6820.0
BUD00089,CON023,Charlotte Martin,RG03,2023,60000.0,14400.0,74400.0,178,6200.0
BUD00090,CON023,Charlotte Martin,RG03,2024,64800.0,15552.0,80352.0,144,6696.0
BUD00091,CON023,Charlotte Martin,RG03,2025,69600.0,16704.0,86304.0,82,7192.0
BUD00092,CON023,Charlotte Martin,RG03,2026,74400.0,17856.0,92256.0,94,7688.0
BUD00093,CON024,Amy Thompson,RG04,2023,60000.0,18000.0,78000.0,174,6500.0
BUD00094,CON024,Amy Thompson,RG04,2024,64800.0,19440.0,84240.0,164,7020.0
BUD00095,CON024,Amy Thompson,RG04,2025,69600.0,20880.0,90480.0,139,7540.0
BUD00096,CON024,Amy Thompson,RG04,2026,74400.0,22320.0,96720.0,102,8060.0
BUD00097,CON025,Natalie Garcia,RG05,2023,60000.0,18000.0,78000.0,180,6500.0
BUD00098,CON025,Natalie Garcia,RG05,2024,64800.0,19440.0,84240.0,103,7020.0
BUD00099,CON025,Natalie Garcia,RG05,2025,69600.0,20880.0,90480.0,130,7540.0
BUD00100,CON025,Natalie Garcia,RG05,2026,74400.0,22320.0,96720.0,85,8060.0
