TargetID,ConsultantID,ConsultantName,RegionID,Year,MonthNum,ConsultationTarget_GBP,RetailTarget_GBP,TotalTarget_GBP,NewClientTarget_GBP
CON001_2025_02,CON001,Sophie Marlowe,RG01,2025,2,3520,880,4400,880
CON001_2025_03,CON001,Sophie Marlowe,RG01,2025,3,4000,1000,5000,1000
CON001_2025_04,CON001,Sophie Marlowe,RG01,2025,4,4000,1000,5000,1000
CON001_2025_05,CON001,Sophie Marlowe,RG01,2025,5,4000,1000,5000,1000
CON001_2025_06,CON001,Sophie Marlowe,RG01,2025,6,4320,1080,5400,1080
CON001_2025_07,CON001,Sophie Marlowe,RG01,2025,7,4320,1080,5400,1080
CON001_2025_08,CON001,Sophie Marlowe,RG01,2025,8,4320,1080,5400,1080
CON001_2025_09,CON001,Sophie Marlowe,RG01,2025,9,4000,1000,5000,1000
CON001_2025_10,CON001,Sophie Marlowe,RG01,2025,10,4000,1000,5000,1000
CON001_2025_11,CON001,Sophie Marlowe,RG01,2025,11,4600,1150,5750,1150
CON001_2025_12,CON001,Sophie Marlowe,RG01,2025,12,4600,1150,5750,1150
CON001_2026_01,CON001,Sophie Marlowe,RG01,2026,1,3520,880,4400,880
CON001_2026_02,CON001,Sophie Marlowe,RG01,2026,2,3520,880,4400,880
CON001_2026_03,CON001,Sophie Marlowe,RG01,2026,3,4000,1000,5000,1000
CON002_2023_01,CON002,Emma Patel,RG02,2023,1,4400,704,5104,1100
CON002_2023_02,CON002,Emma Patel,RG02,2023,2,4400,704,5104,1100
CON002_2023_03,CON002,Emma Patel,RG02,2023,3,5000,800,5800,1250
CON002_2023_04,CON002,Emma Patel,RG02,2023,4,5000,800,5800,1250
CON002_2023_05,CON002,Emma Patel,RG02,2023,5,5000,800,5800,1250
CON002_2023_06,CON002,Emma Patel,RG02,2023,6,5400,864,6264,1350
CON002_2023_07,CON002,Emma Patel,RG02,2023,7,5400,864,6264,1350
CON002_2023_08,CON002,Emma Patel,RG02,2023,8,5400,864,6264,1350
CON002_2023_09,CON002,Emma Patel,RG02,2023,9,5000,800,5800,1250
CON002_2023_10,CON002,Emma Patel,RG02,2023,10,5000,800,5800,1250
CON002_2023_11,CON002,Emma Patel,RG02,2023,11,5750,920,6670,1438
CON002_2023_12,CON002,Emma Patel,RG02,2023,12,5750,920,6670,1438
CON002_2024_01,CON002,Emma Patel,RG02,2024,1,4400,704,5104,1100
CON002_2024_02,CON002,Emma Patel,RG02,2024,2,4400,704,5104,1100
CON002_2024_03,CON002,Emma Patel,RG02,2024,3,5000,800,5800,1250
CON002_2024_04,CON002,Emma Patel,RG02,2024,4,5000,800,5800,1250
CON002_2024_05,CON002,Emma Patel,RG02,2024,5,5000,800,5800,1250
CON002_2024_06,CON002,Emma Patel,RG02,2024,6,5400,864,6264,1350
CON002_2024_07,CON002,Emma Patel,RG02,2024,7,5400,864,6264,1350
CON002_2024_08,CON002,Emma Patel,RG02,2024,8,5400,864,6264,1350
CON002_2024_09,CON002,Emma Patel,RG02,2024,9,5000,800,5800,1250
CON002_2024_10,CON002,Emma Patel,RG02,2024,10,5000,800,5800,1250
CON002_2024_11,CON002,Emma Patel,RG02,2024,11,5750,920,6670,1438
CON002_2024_12,CON002,Emma Patel,RG02,2024,12,5750,920,6670,1438
CON002_2025_01,CON002,Emma Patel,RG02,2025,1,4400,704,5104,1100
CON002_2025_02,CON002,Emma Patel,RG02,2025,2,4400,704,5104,1100
CON002_2025_03,CON002,Emma Patel,RG02,2025,3,5000,800,5800,1250
CON002_2025_04,CON002,Emma Patel,RG02,2025,4,5000,800,5800,1250
CON002_2025_05,CON002,Emma Patel,RG02,2025,5,5000,800,5800,1250
CON002_2025_06,CON002,Emma Patel,RG02,2025,6,5400,864,6264,1350
CON002_2025_07,CON002,Emma Patel,RG02,2025,7,5400,864,6264,1350
CON002_2025_08,CON002,Emma Patel,RG02,2025,8,5400,864,6264,1350
CON002_2025_09,CON002,Emma Patel,RG02,2025,9,5000,800,5800,1250
CON002_2025_10,CON002,Emma Patel,RG02,2025,10,5000,800,5800,1250
CON002_2025_11,CON002,Emma Patel,RG02,2025,11,5750,920,6670,1438
CON002_2025_12,CON002,Emma Patel,RG02,2025,12,5750,920,6670,1438
CON002_2026_01,CON002,Emma Patel,RG02,2026,1,4400,704,5104,1100
CON002_2026_02,CON002,Emma Patel,RG02,2026,2,4400,704,5104,1100
CON002_2026_03,CON002,Emma Patel,RG02,2026,3,5000,800,5800,1250
CON003_2023_01,CON003,Claire Hughes,RG03,2023,1,2640,704,3344,660
CON003_2023_02,CON003,Claire Hughes,RG03,2023,2,2640,704,3344,660
CON003_2023_03,CON003,Claire Hughes,RG03,2023,3,3000,800,3800,750
CON003_2023_04,CON003,Claire Hughes,RG03,2023,4,3000,800,3800,750
CON003_2023_05,CON003,Claire Hughes,RG03,2023,5,3000,800,3800,750
CON003_2023_06,CON003,Claire Hughes,RG03,2023,6,3240,864,4104,810
CON003_2023_07,CON003,Claire Hughes,RG03,2023,7,3240,864,4104,810
CON003_2023_08,CON003,Claire Hughes,RG03,2023,8,3240,864,4104,810
CON003_2023_09,CON003,Claire Hughes,RG03,2023,9,3000,800,3800,750
CON003_2023_10,CON003,Claire Hughes,RG03,2023,10,3000,800,3800,750
CON003_2023_11,CON003,Claire Hughes,RG03,2023,11,3450,920,4370,862
CON003_2023_12,CON003,Claire Hughes,RG03,2023,12,3450,920,4370,862
CON003_2024_01,CON003,Claire Hughes,RG03,2024,1,2640,704,3344,660
CON003_2024_02,CON003,Claire Hughes,RG03,2024,2,2640,704,3344,660
CON003_2024_03,CON003,Claire Hughes,RG03,2024,3,3000,800,3800,750
CON003_2024_04,CON003,Claire Hughes,RG03,2024,4,3000,800,3800,750
CON003_2024_05,CON003,Claire Hughes,RG03,2024,5,3000,800,3800,750
CON003_2024_06,CON003,Claire Hughes,RG03,2024,6,3240,864,4104,810
CON003_2024_07,CON003,Claire Hughes,RG03,2024,7,3240,864,4104,810
CON003_2024_08,CON003,Claire Hughes,RG03,2024,8,3240,864,4104,810
CON003_2024_09,CON003,Claire Hughes,RG03,2024,9,3000,800,3800,750
CON003_2024_10,CON003,Claire Hughes,RG03,2024,10,3000,800,3800,750
CON003_2024_11,CON003,Claire Hughes,RG03,2024,11,3450,920,4370,862
CON003_2024_12,CON003,Claire Hughes,RG03,2024,12,3450,920,4370,862
CON003_2025_01,CON003,Claire Hughes,RG03,2025,1,2640,704,3344,660
CON003_2025_02,CON003,Claire Hughes,RG03,2025,2,2640,704,3344,660
CON003_2025_03,CON003,Claire Hughes,RG03,2025,3,3000,800,3800,750
CON003_2025_04,CON003,Claire Hughes,RG03,2025,4,3000,800,3800,750
CON003_2025_05,CON003,Claire Hughes,RG03,2025,5,3000,800,3800,750
CON003_2025_06,CON003,Claire Hughes,RG03,2025,6,3240,864,4104,810
CON003_2025_07,CON003,Claire Hughes,RG03,2025,7,3240,864,4104,810
CON003_2025_08,CON003,Claire Hughes,RG03,2025,8,3240,864,4104,810
CON003_2025_09,CON003,Claire Hughes,RG03,2025,9,3000,800,3800,750
CON003_2025_10,CON003,Claire Hughes,RG03,2025,10,3000,800,3800,750
CON003_2025_11,CON003,Claire Hughes,RG03,2025,11,3450,920,4370,862
CON003_2025_12,CON003,Claire Hughes,RG03,2025,12,3450,920,4370,862
CON003_2026_01,CON003,Claire Hughes,RG03,2026,1,2640,704,3344,660
CON003_2026_02,CON003,Claire Hughes,RG03,2026,2,2640,704,3344,660
CON003_2026_03,CON003,Claire Hughes,RG03,2026,3,3000,800,3800,750
CON004_2023_01,CON004,Lisa Carter,RG04,2023,1,4400,704,5104,1100
CON004_2023_02,CON004,Lisa Carter,RG04,2023,2,4400,704,5104,1100
CON004_2023_03,CON004,Lisa Carter,RG04,2023,3,5000,800,5800,1250
CON004_2023_04,CON004,Lisa Carter,RG04,2023,4,5000,800,5800,1250
CON004_2023_05,CON004,Lisa Carter,RG04,2023,5,5000,800,5800,1250
CON004_2023_06,CON004,Lisa Carter,RG04,2023,6,5400,864,6264,1350
CON004_2023_07,CON004,Lisa Carter,RG04,2023,7,5400,864,6264,1350
CON004_2023_08,CON004,Lisa Carter,RG04,2023,8,5400,864,6264,1350
CON004_2023_09,CON004,Lisa Carter,RG04,2023,9,5000,800,5800,1250
CON004_2023_10,CON004,Lisa Carter,RG04,2023,10,5000,800,5800,1250
CON004_2023_11,CON004,Lisa Carter,RG04,2023,11,5750,920,6670,1438
CON004_2023_12,CON004,Lisa Carter,RG04,2023,12,5750,920,6670,1438
CON004_2024_01,CON004,Lisa Carter,RG04,2024,1,4400,704,5104,1100
CON004_2024_02,CON004,Lisa Carter,RG04,2024,2,4400,704,5104,1100
CON004_2024_03,CON004,Lisa Carter,RG04,2024,3,5000,800,5800,1250
CON004_2024_04,CON004,Lisa Carter,RG04,2024,4,5000,800,5800,1250
CON004_2024_05,CON004,Lisa Carter,RG04,2024,5,5000,800,5800,1250
CON004_2024_06,CON004,Lisa Carter,RG04,2024,6,5400,864,6264,1350
CON004_2024_07,CON004,Lisa Carter,RG04,2024,7,5400,864,6264,1350
CON004_2024_08,CON004,Lisa Carter,RG04,2024,8,5400,864,6264,1350
CON004_2024_09,CON004,Lisa Carter,RG04,2024,9,5000,800,5800,1250
CON004_2024_10,CON004,Lisa Carter,RG04,2024,10,5000,800,5800,1250
CON004_2024_11,CON004,Lisa Carter,RG04,2024,11,5750,920,6670,1438
CON004_2024_12,CON004,Lisa Carter,RG04,2024,12,5750,920,6670,1438
CON004_2025_01,CON004,Lisa Carter,RG04,2025,1,4400,704,5104,1100
CON004_2025_02,CON004,Lisa Carter,RG04,2025,2,4400,704,5104,1100
CON004_2025_03,CON004,Lisa Carter,RG04,2025,3,5000,800,5800,1250
CON004_2025_04,CON004,Lisa Carter,RG04,2025,4,5000,800,5800,1250
CON004_2025_05,CON004,Lisa Carter,RG04,2025,5,5000,800,5800,1250
CON004_2025_06,CON004,Lisa Carter,RG04,2025,6,5400,864,6264,1350
CON004_2025_07,CON004,Lisa Carter,RG04,2025,7,5400,864,6264,1350
CON004_2025_08,CON004,Lisa Carter,RG04,2025,8,5400,864,6264,1350
CON004_2025_09,CON004,Lisa Carter,RG04,2025,9,5000,800,5800,1250
CON004_2025_10,CON004,Lisa Carter,RG04,2025,10,5000,800,5800,1250
CON004_2025_11,CON004,Lisa Carter,RG04,2025,11,5750,920,6670,1438
CON004_2025_12,CON004,Lisa Carter,RG04,2025,12,5750,920,6670,1438
CON004_2026_01,CON004,Lisa Carter,RG04,2026,1,4400,704,5104,1100
CON004_2026_02,CON004,Lisa Carter,RG04,2026,2,4400,704,5104,1100
CON004_2026_03,CON004,Lisa Carter,RG04,2026,3,5000,800,5800,1250
CON005_2023_01,CON005,Sarah Walsh,RG05,2023,1,4400,1320,5720,1100
CON005_2023_02,CON005,Sarah Walsh,RG05,2023,2,4400,1320,5720,1100
CON005_2023_03,CON005,Sarah Walsh,RG05,2023,3,5000,1500,6500,1250
CON005_2023_04,CON005,Sarah Walsh,RG05,2023,4,5000,1500,6500,1250
CON005_2023_05,CON005,Sarah Walsh,RG05,2023,5,5000,1500,6500,1250
CON005_2023_06,CON005,Sarah Walsh,RG05,2023,6,5400,1620,7020,1350
CON005_2023_07,CON005,Sarah Walsh,RG05,2023,7,5400,1620,7020,1350
CON005_2023_08,CON005,Sarah Walsh,RG05,2023,8,5400,1620,7020,1350
CON005_2023_09,CON005,Sarah Walsh,RG05,2023,9,5000,1500,6500,1250
CON005_2023_10,CON005,Sarah Walsh,RG05,2023,10,5000,1500,6500,1250
CON005_2023_11,CON005,Sarah Walsh,RG05,2023,11,5750,1725,7475,1438
CON005_2023_12,CON005,Sarah Walsh,RG05,2023,12,5750,1725,7475,1438
CON005_2024_01,CON005,Sarah Walsh,RG05,2024,1,4400,1320,5720,1100
CON005_2024_02,CON005,Sarah Walsh,RG05,2024,2,4400,1320,5720,1100
CON005_2024_03,CON005,Sarah Walsh,RG05,2024,3,5000,1500,6500,1250
CON005_2024_04,CON005,Sarah Walsh,RG05,2024,4,5000,1500,6500,1250
CON005_2024_05,CON005,Sarah Walsh,RG05,2024,5,5000,1500,6500,1250
CON005_2024_06,CON005,Sarah Walsh,RG05,2024,6,5400,1620,7020,1350
CON005_2024_07,CON005,Sarah Walsh,RG05,2024,7,5400,1620,7020,1350
CON005_2024_08,CON005,Sarah Walsh,RG05,2024,8,5400,1620,7020,1350
CON005_2024_09,CON005,Sarah Walsh,RG05,2024,9,5000,1500,6500,1250
CON005_2024_10,CON005,Sarah Walsh,RG05,2024,10,5000,1500,6500,1250
CON005_2024_11,CON005,Sarah Walsh,RG05,2024,11,5750,1725,7475,1438
CON005_2024_12,CON005,Sarah Walsh,RG05,2024,12,5750,1725,7475,1438
CON005_2025_01,CON005,Sarah Walsh,RG05,2025,1,4400,1320,5720,1100
CON005_2025_02,CON005,Sarah Walsh,RG05,2025,2,4400,1320,5720,1100
CON005_2025_03,CON005,Sarah Walsh,RG05,2025,3,5000,1500,6500,1250
CON005_2025_04,CON005,Sarah Walsh,RG05,2025,4,5000,1500,6500,1250
CON005_2025_05,CON005,Sarah Walsh,RG05,2025,5,5000,1500,6500,1250
CON005_2025_06,CON005,Sarah Walsh,RG05,2025,6,5400,1620,7020,1350
CON005_2025_07,CON005,Sarah Walsh,RG05,2025,7,5400,1620,7020,1350
CON005_2025_08,CON005,Sarah Walsh,RG05,2025,8,5400,1620,7020,1350
CON005_2025_09,CON005,Sarah Walsh,RG05,2025,9,5000,1500,6500,1250
CON005_2025_10,CON005,Sarah Walsh,RG05,2025,10,5000,1500,6500,1250
CON005_2025_11,CON005,Sarah Walsh,RG05,2025,11,5750,1725,7475,1438
CON005_2025_12,CON005,Sarah Walsh,RG05,2025,12,5750,1725,7475,1438
CON005_2026_01,CON005,Sarah Walsh,RG05,2026,1,4400,1320,5720,1100
CON005_2026_02,CON005,Sarah Walsh,RG05,2026,2,4400,1320,5720,1100
CON005_2026_03,CON005,Sarah Walsh,RG05,2026,3,5000,1500,6500,1250
CON006_2023_01,CON006,Anna Singh,RG06,2023,1,3520,704,4224,880
CON006_2023_02,CON006,Anna Singh,RG06,2023,2,3520,704,4224,880
CON006_2023_03,CON006,Anna Singh,RG06,2023,3,4000,800,4800,1000
CON006_2023_04,CON006,Anna Singh,RG06,2023,4,4000,800,4800,1000
CON006_2023_05,CON006,Anna Singh,RG06,2023,5,4000,800,4800,1000
CON006_2023_06,CON006,Anna Singh,RG06,2023,6,4320,864,5184,1080
CON006_2023_07,CON006,Anna Singh,RG06,2023,7,4320,864,5184,1080
CON006_2023_08,CON006,Anna Singh,RG06,2023,8,4320,864,5184,1080
CON006_2023_09,CON006,Anna Singh,RG06,2023,9,4000,800,4800,1000
CON006_2023_10,CON006,Anna Singh,RG06,2023,10,4000,800,4800,1000
CON006_2023_11,CON006,Anna Singh,RG06,2023,11,4600,920,5520,1150
CON006_2023_12,CON006,Anna Singh,RG06,2023,12,4600,920,5520,1150
CON006_2024_01,CON006,Anna Singh,RG06,2024,1,3520,704,4224,880
CON006_2024_02,CON006,Anna Singh,RG06,2024,2,3520,704,4224,880
CON006_2024_03,CON006,Anna Singh,RG06,2024,3,4000,800,4800,1000
CON006_2024_04,CON006,Anna Singh,RG06,2024,4,4000,800,4800,1000
CON006_2024_05,CON006,Anna Singh,RG06,2024,5,4000,800,4800,1000
CON006_2024_06,CON006,Anna Singh,RG06,2024,6,4320,864,5184,1080
CON006_2024_07,CON006,Anna Singh,RG06,2024,7,4320,864,5184,1080
CON006_2024_08,CON006,Anna Singh,RG06,2024,8,4320,864,5184,1080
CON006_2024_09,CON006,Anna Singh,RG06,2024,9,4000,800,4800,1000
CON006_2024_10,CON006,Anna Singh,RG06,2024,10,4000,800,4800,1000
CON006_2024_11,CON006,Anna Singh,RG06,2024,11,4600,920,5520,1150
CON006_2024_12,CON006,Anna Singh,RG06,2024,12,4600,920,5520,1150
CON006_2025_01,CON006,Anna Singh,RG06,2025,1,3520,704,4224,880
CON006_2025_02,CON006,Anna Singh,RG06,2025,2,3520,704,4224,880
CON006_2025_03,CON006,Anna Singh,RG06,2025,3,4000,800,4800,1000
CON006_2025_04,CON006,Anna Singh,RG06,2025,4,4000,800,4800,1000
CON006_2025_05,CON006,Anna Singh,RG06,2025,5,4000,800,4800,1000
CON006_2025_06,CON006,Anna Singh,RG06,2025,6,4320,864,5184,1080
CON006_2025_07,CON006,Anna Singh,RG06,2025,7,4320,864,5184,1080
CON006_2025_08,CON006,Anna Singh,RG06,2025,8,4320,864,5184,1080
CON006_2025_09,CON006,Anna Singh,RG06,2025,9,4000,800,4800,1000
CON006_2025_10,CON006,Anna Singh,RG06,2025,10,4000,800,4800,1000
CON006_2025_11,CON006,Anna Singh,RG06,2025,11,4600,920,5520,1150
CON006_2025_12,CON006,Anna Singh,RG06,2025,12,4600,920,5520,1150
CON006_2026_01,CON006,Anna Singh,RG06,2026,1,3520,704,4224,880
CON006_2026_02,CON006,Anna Singh,RG06,2026,2,3520,704,4224,880
CON006_2026_03,CON006,Anna Singh,RG06,2026,3,4000,800,4800,1000
CON007_2023_01,CON007,Kate Okoye,RG07,2023,1,3960,1056,5016,990
CON007_2023_02,CON007,Kate Okoye,RG07,2023,2,3960,1056,5016,990
CON007_2023_03,CON007,Kate Okoye,RG07,2023,3,4500,1200,5700,1125
CON007_2023_04,CON007,Kate Okoye,RG07,2023,4,4500,1200,5700,1125
CON007_2023_05,CON007,Kate Okoye,RG07,2023,5,4500,1200,5700,1125
CON007_2023_06,CON007,Kate Okoye,RG07,2023,6,4860,1296,6156,1215
CON007_2023_07,CON007,Kate Okoye,RG07,2023,7,4860,1296,6156,1215
CON007_2023_08,CON007,Kate Okoye,RG07,2023,8,4860,1296,6156,1215
CON007_2023_09,CON007,Kate Okoye,RG07,2023,9,4500,1200,5700,1125
CON007_2023_10,CON007,Kate Okoye,RG07,2023,10,4500,1200,5700,1125
CON007_2023_11,CON007,Kate Okoye,RG07,2023,11,5175,1380,6555,1294
CON007_2023_12,CON007,Kate Okoye,RG07,2023,12,5175,1380,6555,1294
CON007_2024_01,CON007,Kate Okoye,RG07,2024,1,3960,1056,5016,990
CON007_2024_02,CON007,Kate Okoye,RG07,2024,2,3960,1056,5016,990
CON007_2024_03,CON007,Kate Okoye,RG07,2024,3,4500,1200,5700,1125
CON007_2024_04,CON007,Kate Okoye,RG07,2024,4,4500,1200,5700,1125
CON007_2024_05,CON007,Kate Okoye,RG07,2024,5,4500,1200,5700,1125
CON007_2024_06,CON007,Kate Okoye,RG07,2024,6,4860,1296,6156,1215
CON007_2024_07,CON007,Kate Okoye,RG07,2024,7,4860,1296,6156,1215
CON007_2024_08,CON007,Kate Okoye,RG07,2024,8,4860,1296,6156,1215
CON007_2024_09,CON007,Kate Okoye,RG07,2024,9,4500,1200,5700,1125
CON007_2024_10,CON007,Kate Okoye,RG07,2024,10,4500,1200,5700,1125
CON007_2024_11,CON007,Kate Okoye,RG07,2024,11,5175,1380,6555,1294
CON007_2024_12,CON007,Kate Okoye,RG07,2024,12,5175,1380,6555,1294
CON007_2025_01,CON007,Kate Okoye,RG07,2025,1,3960,1056,5016,990
CON007_2025_02,CON007,Kate Okoye,RG07,2025,2,3960,1056,5016,990
CON007_2025_03,CON007,Kate Okoye,RG07,2025,3,4500,1200,5700,1125
CON007_2025_04,CON007,Kate Okoye,RG07,2025,4,4500,1200,5700,1125
CON007_2025_05,CON007,Kate Okoye,RG07,2025,5,4500,1200,5700,1125
CON007_2025_06,CON007,Kate Okoye,RG07,2025,6,4860,1296,6156,1215
CON007_2025_07,CON007,Kate Okoye,RG07,2025,7,4860,1296,6156,1215
CON007_2025_08,CON007,Kate Okoye,RG07,2025,8,4860,1296,6156,1215
CON007_2025_09,CON007,Kate Okoye,RG07,2025,9,4500,1200,5700,1125
CON007_2025_10,CON007,Kate Okoye,RG07,2025,10,4500,1200,5700,1125
CON007_2025_11,CON007,Kate Okoye,RG07,2025,11,5175,1380,6555,1294
CON007_2025_12,CON007,Kate Okoye,RG07,2025,12,5175,1380,6555,1294
CON007_2026_01,CON007,Kate Okoye,RG07,2026,1,3960,1056,5016,990
CON007_2026_02,CON007,Kate Okoye,RG07,2026,2,3960,1056,5016,990
CON007_2026_03,CON007,Kate Okoye,RG07,2026,3,4500,1200,5700,1125
CON008_2023_01,CON008,Helen Chen,RG08,2023,1,3520,704,4224,880
CON008_2023_02,CON008,Helen Chen,RG08,2023,2,3520,704,4224,880
CON008_2023_03,CON008,Helen Chen,RG08,2023,3,4000,800,4800,1000
CON008_2023_04,CON008,Helen Chen,RG08,2023,4,4000,800,4800,1000
CON008_2023_05,CON008,Helen Chen,RG08,2023,5,4000,800,4800,1000
CON008_2023_06,CON008,Helen Chen,RG08,2023,6,4320,864,5184,1080
CON008_2023_07,CON008,Helen Chen,RG08,2023,7,4320,864,5184,1080
CON008_2023_08,CON008,Helen Chen,RG08,2023,8,4320,864,5184,1080
CON008_2023_09,CON008,Helen Chen,RG08,2023,9,4000,800,4800,1000
CON008_2023_10,CON008,Helen Chen,RG08,2023,10,4000,800,4800,1000
CON008_2023_11,CON008,Helen Chen,RG08,2023,11,4600,920,5520,1150
CON008_2023_12,CON008,Helen Chen,RG08,2023,12,4600,920,5520,1150
CON008_2024_01,CON008,Helen Chen,RG08,2024,1,3520,704,4224,880
CON008_2024_02,CON008,Helen Chen,RG08,2024,2,3520,704,4224,880
CON008_2024_03,CON008,Helen Chen,RG08,2024,3,4000,800,4800,1000
CON008_2024_04,CON008,Helen Chen,RG08,2024,4,4000,800,4800,1000
CON008_2024_05,CON008,Helen Chen,RG08,2024,5,4000,800,4800,1000
CON008_2024_06,CON008,Helen Chen,RG08,2024,6,4320,864,5184,1080
CON008_2024_07,CON008,Helen Chen,RG08,2024,7,4320,864,5184,1080
CON008_2024_08,CON008,Helen Chen,RG08,2024,8,4320,864,5184,1080
CON008_2024_09,CON008,Helen Chen,RG08,2024,9,4000,800,4800,1000
CON008_2024_10,CON008,Helen Chen,RG08,2024,10,4000,800,4800,1000
CON008_2024_11,CON008,Helen Chen,RG08,2024,11,4600,920,5520,1150
CON008_2024_12,CON008,Helen Chen,RG08,2024,12,4600,920,5520,1150
CON008_2025_01,CON008,Helen Chen,RG08,2025,1,3520,704,4224,880
CON008_2025_02,CON008,Helen Chen,RG08,2025,2,3520,704,4224,880
CON008_2025_03,CON008,Helen Chen,RG08,2025,3,4000,800,4800,1000
CON008_2025_04,CON008,Helen Chen,RG08,2025,4,4000,800,4800,1000
CON008_2025_05,CON008,Helen Chen,RG08,2025,5,4000,800,4800,1000
CON008_2025_06,CON008,Helen Chen,RG08,2025,6,4320,864,5184,1080
CON008_2025_07,CON008,Helen Chen,RG08,2025,7,4320,864,5184,1080
CON008_2025_08,CON008,Helen Chen,RG08,2025,8,4320,864,5184,1080
CON008_2025_09,CON008,Helen Chen,RG08,2025,9,4000,800,4800,1000
CON008_2025_10,CON008,Helen Chen,RG08,2025,10,4000,800,4800,1000
CON008_2025_11,CON008,Helen Chen,RG08,2025,11,4600,920,5520,1150
CON008_2025_12,CON008,Helen Chen,RG08,2025,12,4600,920,5520,1150
CON008_2026_01,CON008,Helen Chen,RG08,2026,1,3520,704,4224,880
CON008_2026_02,CON008,Helen Chen,RG08,2026,2,3520,704,4224,880
CON008_2026_03,CON008,Helen Chen,RG08,2026,3,4000,800,4800,1000
CON009_2023_01,CON009,Fiona Williams,RG09,2023,1,3520,1056,4576,880
CON009_2023_02,CON009,Fiona Williams,RG09,2023,2,3520,1056,4576,880
CON009_2023_03,CON009,Fiona Williams,RG09,2023,3,4000,1200,5200,1000
CON009_2023_04,CON009,Fiona Williams,RG09,2023,4,4000,1200,5200,1000
CON009_2023_05,CON009,Fiona Williams,RG09,2023,5,4000,1200,5200,1000
CON009_2023_06,CON009,Fiona Williams,RG09,2023,6,4320,1296,5616,1080
CON009_2023_07,CON009,Fiona Williams,RG09,2023,7,4320,1296,5616,1080
CON009_2023_08,CON009,Fiona Williams,RG09,2023,8,4320,1296,5616,1080
CON009_2023_09,CON009,Fiona Williams,RG09,2023,9,4000,1200,5200,1000
CON009_2023_10,CON009,Fiona Williams,RG09,2023,10,4000,1200,5200,1000
CON009_2023_11,CON009,Fiona Williams,RG09,2023,11,4600,1380,5980,1150
CON009_2023_12,CON009,Fiona Williams,RG09,2023,12,4600,1380,5980,1150
CON009_2024_01,CON009,Fiona Williams,RG09,2024,1,3520,1056,4576,880
CON009_2024_02,CON009,Fiona Williams,RG09,2024,2,3520,1056,4576,880
CON009_2024_03,CON009,Fiona Williams,RG09,2024,3,4000,1200,5200,1000
CON009_2024_04,CON009,Fiona Williams,RG09,2024,4,4000,1200,5200,1000
CON009_2024_05,CON009,Fiona Williams,RG09,2024,5,4000,1200,5200,1000
CON009_2024_06,CON009,Fiona Williams,RG09,2024,6,4320,1296,5616,1080
CON009_2024_07,CON009,Fiona Williams,RG09,2024,7,4320,1296,5616,1080
CON009_2024_08,CON009,Fiona Williams,RG09,2024,8,4320,1296,5616,1080
CON009_2024_09,CON009,Fiona Williams,RG09,2024,9,4000,1200,5200,1000
CON009_2024_10,CON009,Fiona Williams,RG09,2024,10,4000,1200,5200,1000
CON009_2024_11,CON009,Fiona Williams,RG09,2024,11,4600,1380,5980,1150
CON009_2024_12,CON009,Fiona Williams,RG09,2024,12,4600,1380,5980,1150
